"displacement","position","xPushDuration","xPullDuration","yPushDuration","yPullDuration","zPushDuration","zPullDuration"
"1",0,0,19086.6,5000,11896.3,3500,6000,13000
"2",0,21,18731.7,5000,11549.2,3500,6000,13000
"3",0,42,18376.8,5000,11178.9,3500,6000,13000
"4",0,63,18022,5000,10777.7,3500,6000,13000
"5",0,84,17674.8,5000,10345.6,3500,6000,13000
"6",0,104,17350.8,5000,9913.6,3500,6000,13000
"7",0,125,17026.7,5000,9443,3500,6000,13000
"8",0,146,7113.1,5000,8980.1,3500,6000,13000
"9",0,167,6781.4,5000,8532.7,3500,6000,13000
"10",0,188,6565.4,5000,8123.8,3500,6000,13000
"11",0,209,6488.2,5000,7745.7,3500,6000,13000
"12",0,230,6549.9,5000,7398.6,3500,6000,13000
"13",0,251,6758.2,5000,7059.1,3500,6000,13000
"14",0,271,7028.3,5000,6765.9,3500,6000,13000
"15",0,292,18384.6,5000,6472.8,3500,6000,13000
"16",0,313,19040.3,5000,6202.8,3500,6000,13000
"17",0,334,19719.2,5000,5979,3500,6000,13000
"18",0,355,20444.4,5000,5809.3,3500,6000,13000
"19",0,376,21208.2,5000,5732.2,3500,6000,13000
"20",0,397,22018.3,5000,5786.2,3500,6000,13000
"21",0,418,22890,5000,6040.7,3500,6000,13000
"22",0,438,23761.8,5000,6549.9,3500,6000,13000
"23",0,459,24726.2,5000,7236.6,3500,6000,13000
"24",0,480,25713.7,5000,7954,3500,6000,13000
"25",0,501,26732,5000,8702.4,3500,6000,13000
"26",0,522,27889.3,5000,9504.7,3500,6000,13000
"27",0,543,29378.2,5000,10384.2,3500,6000,13000
"28",0,564,31515.3,5000,11371.7,3500,6000,13000
"29",0,585,34809.5,5000,12521.2,3500,6000,13000
"30",0,605,3000,5000,13855.9,3500,6000,13000
"31",0,626,3000,5000,15730.6,3500,12127.8,13000
"32",0,647,3000,5000,18932.3,3500,13516.5,13000
"33",0,668,3000,5000,25621.1,3500,18384.6,13000
"34",0,689,3000,5000,5000,3500,23337.5,13000
"35",0,710,3000,5000,5000,3500,25250.8,13000
"36",0,731,3000,5000,5000,3500,18994,13000
"37",0,752,3000,5000,5000,3500,15776.9,13000
"38",0,772,3000,5000,5000,3500,15074.9,13000
"39",0,793,3000,5000,5000,3500,15082.6,13000
"40",0,814,3000,5000,5000,3500,16085.5,13000
"41",0,835,3000,5000,5000,3500,16317,13000
"42",0,856,3000,5000,5000,3500,6000,13000
"43",0,877,3000,5000,5000,3500,6000,13000
"44",0,898,3000,5000,5000,3500,6000,13000
"45",0,919,3000,5000,5000,3500,6000,13000
"46",0,939,3000,5000,5000,3500,6000,13000
"47",0,960,3000,5000,5000,3500,6000,13000
"48",0,981,3000,5000,5000,3500,6000,13000
"49",0,1002,3000,5000,5000,3500,6000,13000
"50",0,1023,3000,5000,5000,3500,6000,13000
"51",21,0,28005,13755.6,16293.8,3500,6000,13000
"52",21,21,27665.5,15684.3,16108.7,3500,6000,13000
"53",21,42,27349.2,17520.5,15915.8,3500,6000,13000
"54",21,63,27056.1,18878.3,15722.9,3500,6000,13000
"55",21,84,26801.5,19402.9,15514.6,3500,6000,13000
"56",21,104,26593.2,19063.5,15314,3500,6000,13000
"57",21,125,26423.5,18122.2,15090.3,3500,6000,13000
"58",21,146,26307.7,17011.3,14866.6,3500,6000,13000
"59",21,167,26253.7,16046.9,14635.1,3500,6000,13000
"60",21,188,26269.2,15398.9,14388.2,4598.1,6000,13000
"61",21,209,26354,15159.7,14141.4,5901.9,6000,13000
"62",21,230,26531.5,15398.9,13894.5,7390.9,6000,13000
"63",21,251,26809.2,16209,13647.6,8933.8,6000,13000
"64",21,271,27179.5,17559.1,13423.9,10222.2,6000,13000
"65",21,292,27681,19541.8,13223.3,11094,6000,13000
"66",21,313,28290.5,21933.4,13053.6,11371.7,6000,13000
"67",21,334,29023.4,24340.4,12937.8,11240.6,12181.8,13000
"68",21,355,29879.7,26168.9,12876.1,10986,12258.9,13000
"69",21,376,30882.6,26963.5,12883.8,10862.5,12359.2,13000
"70",21,397,32039.9,26716.6,12976.4,11016.8,12467.2,13000
"71",21,418,33374.6,25829.4,13161.6,11595.5,12606.1,13000
"72",21,438,34809.5,24841.9,13439.3,12652.4,12768.1,13000
"73",21,459,36522.2,23985.6,13848.2,14311.1,12991.9,13000
"74",21,480,38450.9,23530.4,14380.5,16440.4,13277.3,13000
"75",21,501,38566.7,23561.2,15067.2,18716.3,13663,13000
"76",21,522,38566.7,23985.6,15946.6,20544.7,14218.5,13000
"77",21,543,38566.7,24618.2,17111.6,21447.4,15059.4,13000
"78",21,564,31515.3,25181.4,18754.9,21532.2,16571.6,13000
"79",21,585,34809.5,25351.1,21246.8,21354.8,22072.3,13000
"80",21,605,3000,24919.1,25227.6,21493.6,6000,13000
"81",21,626,3000,23877.5,32039.9,22465.7,12127.8,20976.7
"82",21,647,3000,22542.9,38566.7,24571.9,13516.5,38566.7
"83",21,668,3000,21339.3,38566.7,3500,18384.6,38566.7
"84",21,689,3000,20621.9,5000,3500,23337.5,13000
"85",21,710,3000,20621.9,5000,3500,25250.8,13000
"86",21,731,3000,21578.5,5000,3500,18994,38566.7
"87",21,752,3000,23576.7,5000,3500,15776.9,38566.7
"88",21,772,3000,5000,5000,3500,15074.9,38566.7
"89",21,793,3000,5000,5000,3500,15082.6,38566.7
"90",21,814,3000,5000,5000,3500,16085.5,38566.7
"91",21,835,3000,5000,5000,3500,16317,38566.7
"92",21,856,3000,5000,5000,3500,6000,38566.7
"93",21,877,3000,5000,5000,3500,6000,28005
"94",21,898,3000,5000,5000,3500,6000,15815.5
"95",21,919,3000,5000,5000,3500,6000,13000
"96",21,939,3000,5000,5000,3500,6000,13000
"97",21,960,3000,5000,5000,3500,6000,13000
"98",21,981,3000,5000,5000,3500,6000,13000
"99",21,1002,3000,5000,5000,3500,6000,13000
"100",21,1023,3000,5000,5000,3500,6000,13000
"101",42,0,34007.2,33351.4,19017.2,4065.7,6000,13000
"102",42,21,33582.9,37378.6,18909.2,4698.4,6000,13000
"103",42,42,33181.7,38566.7,18801.2,5415.8,6000,13000
"104",42,63,32811.4,38566.7,18685.4,6233.6,12166.4,13000
"105",42,84,32479.6,38566.7,18562,7174.8,12197.2,13000
"106",42,104,32217.3,38566.7,18438.6,8224.1,12235.8,13000
"107",42,125,32001.3,38566.7,18307.4,9504.7,12282.1,13000
"108",42,146,31847,38566.7,18168.5,11024.6,12328.4,13000
"109",42,167,31769.9,37286,18014.2,12837.6,12382.4,13000
"110",42,188,31785.3,35866.5,17859.9,15005.4,12444.1,13000
"111",42,209,31885.6,35326.4,17697.9,17566.8,12505.8,13000
"112",42,230,32109.3,35804.7,17520.5,20452.1,12575.2,13000
"113",42,251,32464.2,37502,17350.8,23383.8,12652.4,13000
"114",42,271,32942.5,38566.7,17188.7,25713.7,12737.3,13000
"115",42,292,33590.6,38566.7,17049.9,27102.4,12829.8,13000
"116",42,313,34408.3,38566.7,16934.2,27264.4,12945.6,13000
"117",42,334,35395.9,38566.7,16872.4,26639.5,13076.7,13000
"118",42,355,36591.7,38566.7,16872.4,25868,13223.3,13000
"119",42,376,38018.9,38566.7,16941.9,25412.8,13400.7,13000
"120",42,397,38566.7,38566.7,17111.6,25613.4,13616.8,13000
"121",42,418,38566.7,38566.7,17412.5,26724.3,13886.8,13000
"122",42,438,34809.5,38566.7,17844.5,28853.6,14203.1,13000
"123",42,459,36522.2,38566.7,18477.1,32248.2,14635.1,13000
"124",42,480,38450.9,38566.7,19348.9,36661.1,15244.6,13000
"125",42,501,38566.7,38566.7,20537,38566.7,16147.2,13000
"126",42,522,38566.7,38566.7,22203.4,38566.7,17829.1,13000
"127",42,543,38566.7,38566.7,24633.6,38566.7,21509.1,13000
"128",42,564,38566.7,38566.7,28444.7,38566.7,16571.6,13000
"129",42,585,34809.5,38566.7,34562.6,21354.8,22072.3,14388.2
"130",42,605,3000,38566.7,38566.7,21493.6,22072.3,24070.4
"131",42,626,3000,38566.7,32039.9,22465.7,12127.8,38566.7
"132",42,647,3000,38566.7,38566.7,24571.9,13516.5,38566.7
"133",42,668,3000,38566.7,38566.7,24571.9,18384.6,38566.7
"134",42,689,3000,38566.7,38566.7,3500,23337.5,38566.7
"135",42,710,3000,20621.9,5000,3500,25250.8,38566.7
"136",42,731,3000,21578.5,5000,3500,18994,38566.7
"137",42,752,3000,23576.7,5000,3500,15776.9,38566.7
"138",42,772,3000,23576.7,5000,3500,15074.9,38566.7
