"displacement","position","xPushDuration","xPullDuration","yPushDuration","yPullDuration","zPushDuration","zPullDuration"
"1",0,0,16911,5000,5000,3500,6000,13000
"2",0,21,16795.3,5000,5000,3500,6000,13000
"3",0,42,16664.1,5000,5000,3500,6000,13000
"4",0,63,16525.3,5000,5000,3500,6000,13000
"5",0,84,16386.4,5000,5000,3500,6000,13000
"6",0,104,16278.4,5000,5000,3500,6000,13000
"7",0,125,16185.8,5000,5000,3500,6000,13000
"8",0,146,16147.2,5000,5000,3500,6000,13000
"9",0,167,16193.5,5000,5000,3500,6000,13000
"10",0,188,16347.8,5000,5000,3500,6000,13000
"11",0,209,16633.3,5000,5000,3500,6000,13000
"12",0,230,17073,5000,5000,3500,6000,13000
"13",0,251,17651.6,5000,5000,3500,6000,13000
"14",0,271,18307.4,5000,5014.7,3500,6000,13000
"15",0,292,19086.6,5000,5115,3500,6000,13000
"16",0,313,19927.5,5000,5223,3500,6000,13000
"17",0,334,20837.9,5000,5354.1,3500,6000,13000
"18",0,355,21810,5000,5508.4,3500,6000,13000
"19",0,376,22843.7,5000,5693.6,3500,6000,13000
"20",0,397,23916.1,5000,5940.5,3500,6000,13000
"21",0,418,24973.1,5000,6256.8,3500,6000,13000
"22",0,438,25883.4,5000,6634.8,3500,6000,13000
"23",0,459,26554.6,5000,7082.3,3500,6000,13000
"24",0,480,26685.8,5000,7583.7,3500,6000,13000
"25",0,501,26114.9,5000,8162.3,3500,6000,13000
"26",0,522,24996.2,5000,8849,3500,7684,13000
"27",0,543,23661.5,5000,9689.9,3500,7606.9,13000
"28",0,564,22643.2,5000,10770,3500,7514.3,13000
"29",0,585,22604.6,5000,12212.6,3500,7429.4,13000
"30",0,605,24448.4,5000,14210.8,3500,7429.4,13000
"31",0,626,28614.5,5000,17944.8,3500,7714.9,13000
"32",0,647,3000,5000,25536.2,3500,8563.5,13000
"33",0,668,3000,5000,5000,3500,9466.2,13000
"34",0,689,3000,5000,5000,3500,9967.6,13000
"35",0,710,3000,5000,5000,3500,10222.2,13000
"36",0,731,3000,5000,5000,3500,10407.4,13000
"37",0,752,3000,5000,5000,3500,10638.8,13000
"38",0,772,3000,5000,5000,3500,11070.8,13000
"39",0,793,3000,5000,5000,3500,12251.2,13000
"40",0,814,3000,5000,5000,3500,14118.2,13000
"41",0,835,3000,5000,5000,3500,6000,13000
"42",0,856,3000,5000,5000,3500,6000,13000
"43",0,877,3000,5000,5000,3500,6000,13000
"44",0,898,3000,5000,5000,3500,6000,13000
"45",0,919,3000,5000,5000,3500,6000,13000
"46",0,939,3000,5000,5000,3500,6000,13000
"47",0,960,3000,5000,5000,3500,6000,13000
"48",0,981,3000,5000,5000,3500,6000,13000
"49",0,1002,3000,5000,5000,3500,6000,13000
"50",0,1023,3000,5000,5000,3500,6000,13000
"51",21,0,28167,10600.2,8833.5,3500,9527.9,13000
"52",21,21,27974.1,12251.2,8933.8,3500,9566.4,13000
"53",21,42,27796.7,13940.8,9034.1,3500,9612.7,13000
"54",21,63,27634.7,15406.6,9134.4,3500,9659,13000
"55",21,84,27503.5,16286.1,9234.7,3500,9713,13000
"56",21,104,27418.7,16425,9335,3500,9767,13000
"57",21,125,27380.1,15969.8,9443,3500,9828.8,13000
"58",21,146,27403.2,15213.7,9558.7,3500,9890.5,13000
"59",21,167,27495.8,14480.8,9666.7,3500,9959.9,13000
"60",21,188,27673.3,13963.9,9790.2,3500,10037.1,13000
"61",21,209,27958.7,13763.3,9913.6,4135.2,10114.2,13000
"62",21,230,28359.9,13971.6,10037.1,4983.8,10206.8,13000
"63",21,251,28930.8,14658.3,10168.2,5886.5,10307.1,13000
"64",21,271,29640.6,15784.6,10307.1,6696.5,10407.4,13000
"65",21,292,30574.1,17366.2,10461.4,7390.9,10530.8,13000
"66",21,313,31723.6,19156,10631.1,7853.7,10669.7,13000
