"displacement","position","xPushDuration","xPullDuration","yPushDuration","yPullDuration","zPushDuration","zPullDuration"
"109",42,167,35912.9,38600,12130.5,6069.1,21604.9,13000
"110",42,188,35882,38600,12269.5,7335.5,21651.2,13000
"111",42,209,36059.6,38600,12408.5,8825.7,21697.5,13000
"112",42,230,36499.7,38600,12555.2,10539.9,21751.6,13000
"113",42,251,37271.9,38600,12725.1,12323.6,21805.6,13000
"114",42,271,38391.5,38600,12902.7,13813.8,21859.7,13000
"115",42,292,38600,38600,13118.9,14864,21929.2,13000
"116",42,313,38600,35665.8,13373.7,15327.3,21998.7,13000
"117",42,334,33820.4,38600,13667.1,15419.9,22075.9,13000
"118",42,355,36183.2,38600,14014.6,15466.3,22168.6,13000
"119",42,376,38600,38600,14423.8,15736.5,22261.2,13000
"120",42,397,38600,38600,14925.7,16446.9,22377,13000
"121",42,418,38600,38600,15535.7,17790.4,22492.9,13000
"122",42,438,19751.7,38600,16253.9,19689.9,22631.8,13000
"123",42,459,19859.8,38600,17195.9,22191.7,22786.3,13000
"124",42,480,19489.2,38600,18446.8,24786.2,22971.6,13000
"125",42,501,18802,38600,20238.2,26739.7,23187.8,13000
"126",42,522,18253.7,38600,23380.8,27573.6,23450.3,13000
"127",42,543,18053,38600,32832,27627.7,23766.9,13000
"128",42,564,18392.7,38600,19172.6,27728.1,24160.7,13000
"129",42,585,26909.6,38600,25805.4,28762.8,24654.9,13000
"130",42,605,24114.4,38600,23929.1,31303.1,25257.2,13000
"131",42,626,3000,38600,23929.1,15288.7,26091.1,13000
"132",42,647,3000,38600,17589.7,17744.1,27233.9,13000
"133",42,668,3000,38600,27604.5,19844.4,28863.1,13000
"134",42,689,3000,38600,5000,19844.4,31372.6,13000
"135",42,710,3000,5000,5000,3500,35719.9,13000
"136",42,731,3000,5000,5000,7119.3,34692.9,13000
"137",42,752,3000,5000,5000,7119.3,34692.9,13000
"138",42,772,3000,5000,5000,3500,28314.9,13000
"139",42,793,3000,5000,5000,3500,6000,13000
"140",42,814,3000,5000,5000,3500,6000,13000
"141",42,835,3000,5000,5000,3500,6000,13000
"142",42,856,3000,5000,5000,3500,6000,38600
"143",42,877,3000,5000,5000,3500,6000,38600
"144",42,898,3000,5000,5000,3500,16199.8,38600
"145",42,919,3000,5000,5000,3500,6000,38600
"146",42,939,3000,5000,5000,4717.9,6000,31256.8
"147",42,960,3000,5000,5000,6169.5,6000,21836.5
"148",42,981,3000,5000,5000,7420.4,6000,16508.7
"149",42,1002,3000,5000,5000,8470.5,6000,13111.2
"150",42,1023,3000,38600,13196.1,9335.3,21767,13000
"151",63,0,38600,38600,13196.1,3652.3,21767,13000
"152",63,21,38600,38600,13327.4,4185.1,21805.6,13000
"153",63,42,38600,38600,13458.7,4795.1,21852,13000
"154",63,63,38561.4,38600,13597.6,5490,21890.6,13000
"155",63,84,37719.7,38600,13752.1,6293.1,21936.9,13000
"156",63,104,37055.7,38600,13906.5,7181,21983.2,13000
"157",63,125,36507.5,38600,14076.4,8277.5,22029.6,13000
"158",63,146,36129.1,38600,14254,9574.7,22083.6,13000
"159",63,167,35912.9,38600,14447,11126.7,22137.7,13000
"160",63,188,35882,38600,14655.5,12987.6,22199.4,13000
"161",63,209,36059.6,38600,14871.7,15196,22268.9,13000
"162",63,230,36499.7,38600,15103.3,17705.5,22338.4,13000
"163",63,251,37271.9,38600,15358.2,20284.5,22415.6,13000
"164",63,271,38391.5,38600,15620.7,22415.6,22492.9,13000
"165",63,292,38600,38600,15929.5,23859.6,22585.5,13000
"166",63,313,38600,38600,16277,24423.2,22685.9,13000
"167",63,334,38600,38600,16678.5,24461.9,22794,13000
"168",63,355,36183.2,38600,17149.5,24454.1,22917.5,13000
"169",63,376,38600,38600,17720.9,24809.3,23048.8,13000
"170",63,397,38600,38600,18408.2,25844,23195.5,13000
"171",63,418,38600,38600,19288.4,27859.3,23365.4,13000
"172",63,438,38600,38600,20377.2,30731.7,23543,13000
"173",63,459,19859.8,38600,21936.9,34553.9,23759.2,13000
"174",63,480,19489.2,38600,24268.8,38538.2,24014,13000
"175",63,501,18802,38600,28515.7,38600,24307.4,13000
"176",63,522,18253.7,38600,38600,38600,24654.9,13000
"177",63,543,18053,38600,32832,38600,25079.6,13000
"178",63,564,18392.7,38600,32832,38600,25604.6,13000
"179",63,585,26909.6,38600,25805.4,28762.8,26261,13000
"180",63,605,24114.4,38600,23929.1,31303.1,27064,13000
"181",63,626,3000,38600,23929.1,31303.1,28175.9,13000
"182",63,647,3000,38600,23929.1,17744.1,29689.3,13000
"183",63,668,3000,38600,27604.5,19844.4,31882.3,13000
"184",63,689,3000,38600,5000,19844.4,35302.9,13000
"185",63,710,3000,38600,5000,19844.4,35719.9,13000
"186",63,731,3000,5000,5000,7119.3,35719.9,13000
"187",63,752,3000,5000,5000,7119.3,34692.9,13000
"188",63,772,3000,5000,5000,3500,34692.9,13000
"189",63,793,3000,5000,5000,3500,6000,13000
"190",63,814,3000,5000,5000,3500,6000,13000
"191",63,835,3000,5000,5000,3500,6000,38600
"192",63,856,3000,5000,5000,3500,6000,38600
"193",63,877,3000,5000,5000,3500,6000,38600
"194",63,898,3000,5000,5000,3500,16199.8,38600
"195",63,919,3000,5000,5000,3500,6000,38600
"196",63,939,3000,5000,5000,3500,6000,38600
"197",63,960,3000,5000,5000,3500,6000,33920.7
"198",63,981,3000,5000,5000,3613.7,6000,25905.8
"199",63,1002,3000,5000,5000,4903.2,6000,20786.4
"200",63,1023,3000,38600,14925.7,5999.6,22176.3,17234.5
"201",84,0,38600,38600,14925.7,6269.9,22176.3,17234.5
"202",84,21,38600,38600,15103.3,6980.3,22222.6,17234.5
"203",84,42,38600,38600,15288.7,7775.6,22268.9,17234.5
"204",84,63,38561.4,38600,15481.7,8694.5,22323,17234.5
"205",84,84,37719.7,38600,15690.2,9760,22377,17234.5
"206",84,104,37055.7,38600,15890.9,10941.4,22438.8,17234.5
"207",84,125,36507.5,38600,16122.6,12393.1,22500.6,17234.5
"208",84,146,36129.1,38600,16362,14115,22570.1,17234.5
"209",84,167,35912.9,38600,16616.8,16168.9,22639.6,17234.5
"210",84,188,35882,38600,16887,18632.1,22716.8,17234.5
"211",84,209,36059.6,38600,17172.7,21550.8,22801.7,17234.5
"212",84,230,36499.7,38600,17473.9,24855.7,22886.7,17234.5
"213",84,251,37271.9,38600,17798.2,28245.4,22987,17234.5
"214",84,271,38391.5,38600,18137.9,31009.7,23079.7,17234.5
"215",84,292,38600,38600,18524,32847.4,23195.5,17234.5
"216",84,313,38600,38600,18971.8,33511.5,23319.1,17234.5
"217",84,334,38600,38600,19481.5,33496.1,23450.3,17234.5
"218",84,355,38600,38600,20083.7,33434.3,23604.8,13000
"219",84,376,38600,38600,20817.3,33874.4,23766.9,13000
"220",84,397,38600,38600,21736.1,35241.1,23952.2,13000
"221",84,418,38600,38600,22948.4,37928.2,24160.7,13000
"222",84,438,38600,38600,24523.6,38600,24376.9,13000
"223",84,459,19859.8,38600,26925,38600,24647.2,13000
"224",84,480,19489.2,38600,30940.2,38600,24948.3,13000
"225",84,501,18802,38600,38600,38600,25311.2,13000
"226",84,522,18253.7,38600,38600,38600,25735.9,13000
"227",84,543,18053,38600,38600,38600,26253.3,13000
"228",84,564,18392.7,38600,32832,38600,26894.1,13000
"229",84,585,26909.6,38600,32832,38600,27704.9,13000
"230",84,605,24114.4,38600,23929.1,31303.1,28693.3,13000
"231",84,626,3000,38600,23929.1,31303.1,30052.3,13000
"232",84,647,3000,38600,23929.1,31303.1,31920.9,13000
"233",84,668,3000,38600,27604.5,19844.4,34646.6,13000
"234",84,689,3000,38600,5000,19844.4,38600,13000
"235",84,710,3000,38600,5000,19844.4,38600,13000
"236",84,731,3000,5000,5000,7119.3,38600,13000
"237",84,752,3000,5000,5000,7119.3,35719.9,13000
"238",84,772,3000,5000,5000,3500,34692.9,13000
"239",84,793,3000,5000,5000,3500,6000,13000
"240",84,814,3000,5000,5000,3500,6000,13000
"241",84,835,3000,5000,5000,3500,6000,38600
"242",84,856,3000,5000,5000,3500,6000,38600
"243",84,877,3000,5000,5000,3500,6000,38600
"244",84,898,3000,5000,5000,3500,16199.8,38600
"245",84,919,3000,5000,5000,3500,6000,38600
"246",84,939,3000,5000,5000,3500,6000,38600
"247",84,960,3000,5000,5000,3500,6000,38600
"248",84,981,3000,5000,5000,3500,6000,35295.2
"249",84,1002,3000,5000,5000,3500,6000,28453.9
"250",84,1023,3000,38600,16562.7,3500,22539.2,23720.6
"251",104,0,38600,38600,16562.7,8748.5,22539.2,23720.6
"252",104,21,38600,38600,16778.9,9613.3,22593.2,23720.6
"253",104,42,38600,38600,17002.8,10601.7,22655,23720.6
"254",104,63,38561.4,38600,17242.2,11736.7,22716.8,23720.6
"255",104,84,37719.7,38600,17489.3,13049.4,22778.6,23720.6
"256",104,104,37055.7,38600,17744.1,14508.8,22848,23720.6
"257",104,125,36507.5,38600,18014.4,16300.2,22925.3,23720.6
"258",104,146,36129.1,38600,18307.8,18423.6,23002.5,23720.6
"259",104,167,35912.9,38600,18608.9,20964,23087.4,23720.6
"260",104,188,35882,38600,18925.5,24006.3,23172.4,23720.6
"261",104,209,36059.6,38600,19265.3,27596.8,23272.7,23720.6
"262",104,230,36499.7,38600,19620.4,31666.1,23373.1,23720.6
"263",104,251,37271.9,38600,20006.5,35820.2,23488.9,23720.6
"264",104,271,38391.5,38600,20400.3,38600,23604.8,23720.6
"265",104,292,38600,38600,20863.6,38600,23736,23720.6
"266",104,313,38600,38600,21388.7,38600,23882.7,23720.6
"267",104,334,38600,38600,21998.7,38600,24037.2,23720.6
"268",104,355,38600,38600,22732.2,38600,24214.8,13000
"269",104,376,38600,38600,23627.9,38600,24407.8,13000
"270",104,397,38600,38600,24786.2,38600,24616.3,13000
"271",104,418,38600,38600,26353.6,38600,24855.7,13000
"272",104,438,38600,38600,28453.9,38600,25118.2,13000
"273",104,459,19859.8,38600,31835.9,38600,25427,13000
"274",104,480,19489.2,38600,37812.4,38600,25782.2,13000
"275",104,501,18802,38600,38600,38600,26199.2,13000
"276",104,522,18253.7,38600,38600,38600,26693.4,13000
"277",104,543,18053,38600,38600,38600,27295.7,13000
"278",104,564,18392.7,38600,38600,38600,28036.9,13000
"279",104,585,26909.6,38600,32832,38600,28979,13000
"280",104,605,24114.4,38600,23929.1,38600,30129.5,13000
"281",104,626,3000,38600,23929.1,31303.1,31712.4,13000
"282",104,647,3000,38600,23929.1,31303.1,33913,13000
"283",104,668,3000,38600,27604.5,19844.4,37179.2,13000
"284",104,689,3000,38600,5000,19844.4,38600,13000
"285",104,710,3000,38600,5000,19844.4,38600,13000
"286",104,731,3000,5000,5000,7119.3,38600,13000
"287",104,752,3000,5000,5000,7119.3,38600,13000
"288",104,772,3000,5000,5000,3500,38600,13000
"289",104,793,3000,5000,5000,3500,6000,13000
"290",104,814,3000,5000,5000,3500,6000,13000
"291",104,835,3000,5000,5000,3500,6000,38600
"292",104,856,3000,5000,5000,3500,6000,38600
